Country,Bytes,Formatted Bytes,Requests,Formatted Requests
IS,272925410,272.93 MB,47430,47430
CG,12856370,12.86 MB,2840,2840
MC,366067780,366.07 MB,45170,45170
PA,99340860,99.34 MB,30600,30600
QA,334395020,334.40 MB,87120,87120
TL,38669890,38.67 MB,10380,10380
BN,242864850,242.86 MB,59190,59190
SO,14866410,14.87 MB,11760,11760
TR,2174579230,2.17 GB,611010,611010
CR,87976470,87.98 MB,23770,23770
GB,59406581330,59.41 GB,6496350,6.50M
SC,274432430,274.43 MB,64440,64440
MX,2061804200,2.06 GB,617320,617320
MH,72271090,72.27 MB,14210,14210
CD,26079360,26.08 MB,5670,5670
SA,2811864590,2.81 GB,349940,349940
LK,707809810,707.81 MB,214150,214150
RU,11856831620,11.86 GB,1864330,1.86M
CV,64723690,64.72 MB,5860,5860
BZ,16994350,16.99 MB,7590,7590
LR,9411240,9.41 MB,1720,1720
RE,133828020,133.83 MB,8200,8200
MA,922702550,922.70 MB,131440,131440
SS,43225380,43.23 MB,14410,14410
AM,298907690,298.91 MB,31540,31540
OM,169537490,169.54 MB,41510,41510
GD,7148040,7.15 MB,3120,3120
NL,697430326280,697.43 GB,322130,322130
KM,16960,16.96 KB,20,20
AU,9066553000,9.07 GB,2792120,2.79M
MP,2869808070,2.87 GB,654420,654420
MY,4106363670,4.11 GB,1081730,1.08M
BA,511306150,511.31 MB,47650,47650
AG,5969230,5.97 MB,1580,1580
PT,957044960,957.04 MB,187350,187350
GE,492635820,492.64 MB,109730,109730
IN,29122649080,29.12 GB,7306270,7.31M
KE,551797490,551.80 MB,87850,87850
LY,59583100,59.58 MB,24090,24090
MM,899766910,899.77 MB,191840,191840
EG,1375266150,1.38 GB,470620,470620
GQ,16611210,16.61 MB,8620,8620
MD,453720010,453.72 MB,88430,88430
YE,47569900,47.57 MB,21440,21440
VN,42322902090,42.32 GB,11700850,11.70M
SR,15579400,15.58 MB,2240,2240
LS,54150,54.15 KB,30,30
AI,3706370,3.71 MB,1560,1560
SD,6598870,6.60 MB,6110,6110
GF,19300,19.30 KB,50,50
VG,1866630,1.87 MB,1140,1140
CF,64560,64.56 KB,30,30
DM,4426590,4.43 MB,2370,2370
KY,34239840,34.24 MB,6340,6340
LC,17293670,17.29 MB,5790,5790
MS,9576360,9.58 MB,1910,1910
LI,3314590,3.31 MB,1050,1050
AW,3726410,3.73 MB,2190,2190
GI,854309700,854.31 MB,119950,119950
AX,8950160,8.95 MB,840,840
BS,97387010,97.39 MB,12500,12500
GP,8300820,8.30 MB,3250,3250
MF,117120,117.12 KB,40,40
SX,1420280,1.42 MB,830,830
JE,12803470,12.80 MB,1010,1010
PM,53807550,53.81 MB,2500,2500
KN,102671860,102.67 MB,7410,7410
GL,5429600,5.43 MB,1570,1570
ST,1572730,1.57 MB,560,560
WS,18670,18.67 KB,10,10
VA,38600,38.60 KB,100,100
FK,3537780,3.54 MB,2650,2650
TO,162110,162.11 KB,70,70
CW,1935800,1.94 MB,850,850
Total,32732404125280,32.73 TB,8335644720,8335.64M
