Country,Bytes,Formatted Bytes,Requests,Formatted Requests
SK,512017700,512.02 MB,182300,182300
MY,5720516500,5.72 GB,1617400,1.62M
KW,663669600,663.67 MB,189500,189500
GF,395200,395.20 KB,700,700
GL,1472800,1.47 MB,1600,1600
AO,12608900,12.61 MB,15200,15200
ZA,1711005200,1.71 GB,575300,575300
BZ,65361900,65.36 MB,18100,18100
MZ,55530100,55.53 MB,17600,17600
MH,119280300,119.28 MB,7100,7100
CI,31106500,31.11 MB,30300,30300
CD,11180300,11.18 MB,4600,4600
MF,54000,54.00 KB,100,100
AU,12619815400,12.62 GB,3731000,3.73M
GM,1125768100,1.13 GB,306800,306800
GD,3956000,3.96 MB,700,700
ID,8309022000,8.31 GB,2591900,2.59M
CM,23307700,23.31 MB,8200,8200
VC,8878800,8.88 MB,2800,2800
NZ,2477355000,2.48 GB,837100,837100
GN,10290000,10.29 MB,5600,5600
CH,1032834700,1.03 GB,256800,256800
IT,11660559500,11.66 GB,5029700,5.03M
TN,304133800,304.13 MB,121800,121800
AD,3640800,3.64 MB,3500,3500
SG,73285911500,73.29 GB,12720000,12.72M
SN,51594300,51.59 MB,20100,20100
GB,21662769800,21.66 GB,6433400,6.43M
MR,2065200,2.07 MB,1300,1300
MW,27932700,27.93 MB,19000,19000
IM,23960700,23.96 MB,7600,7600
IL,3302187400,3.30 GB,1504100,1.50M
BI,4425000,4.42 MB,4600,4600
AZ,454875900,454.88 MB,74400,74400
BR,7452578000,7.45 GB,2495500,2.50M
SI,208127800,208.13 MB,112200,112200
BO,523746800,523.75 MB,130500,130500
SL,11395500,11.40 MB,2000,2000
US,1476130859000,1.48 TB,313845700,313.85M
AG,19230000,19.23 MB,6300,6300
Total,31554225019500,31.55 TB,9551050400,9551.05M
