Country,Bytes,Formatted Bytes,Requests,Formatted Requests
VN,73532773860,73.53 GB,17428980,17.43M
BQ,685170,685.17 KB,90,90
GW,461690,461.69 KB,330,330
AI,4567760,4.57 MB,3280,3280
SD,12782520,12.78 MB,4960,4960
GF,190840,190.84 KB,140,140
VG,7116370,7.12 MB,3540,3540
NR,9000,9.00 KB,20,20
CF,197710,197.71 KB,40,40
DM,8245220,8.25 MB,3830,3830
KY,28549600,28.55 MB,7980,7980
LC,9226080,9.23 MB,3170,3170
FO,22890890,22.89 MB,5980,5980
MS,10193870,10.19 MB,5150,5150
LI,9393960,9.39 MB,5800,5800
AW,7675400,7.68 MB,3400,3400
KM,255570,255.57 KB,70,70
GY,42915070,42.92 MB,7780,7780
MQ,10595680,10.60 MB,3320,3320
GI,20306550,20.31 MB,8880,8880
BB,13090060,13.09 MB,7460,7460
VC,13277840,13.28 MB,8280,8280
TC,12051150,12.05 MB,6200,6200
GP,18830900,18.83 MB,7430,7430
MF,205100,205.10 KB,320,320
CK,162360,162.36 KB,90,90
SX,2397350,2.40 MB,1410,1410
PM,6316610,6.32 MB,890,890
KN,32801130,32.80 MB,10160,10160
ST,409330,409.33 KB,230,230
WS,395820,395.82 KB,420,420
DJ,188010,188.01 KB,130,130
AG,4104180,4.10 MB,2600,2600
VI,20973270,20.97 MB,5820,5820
FK,11124240,11.12 MB,4670,4670
CW,3415180,3.42 MB,1640,1640
YT,55840,55.84 KB,10,10
ER,352860,352.86 KB,20,20
Total,29753814416430,29.75 TB,8725217030,8725.22M
